ProductID,ProductName,ProductDescription,ProductStartPrice,ProductPrice,ProductStartDate,ProductEndDate
"31,Hand-Blown Glass Vase,""Hand-blown glass vase with intricate swirling patterns"",0,300,""2024-07-01 09:00:00"",""2024-07-10 18:00:00"""
"32,Carved Ivory Sculpture,""Intricately carved ivory sculpture depicting wildlife scenes"",0,500,""2024-07-02 10:00:00"",""2024-07-11 19:00:00"""
"33,Authentic Native American Art,""Authentic Native American art piece with traditional motifs"",0,400,""2024-07-03 11:00:00"",""2024-07-12 20:00:00"""
"34,Fine Linen Tablecloth,""Luxurious fine linen tablecloth with delicate lace trim"",0,150,""2024-07-04 12:00:00"",""2024-07-13 21:00:00"""
"35,Vintage Camera,""Vintage camera with leather case and manual controls"",0,250,""2024-07-05 13:00:00"",""2024-07-14 22:00:00"""
"36,Hand-Carved Walking Stick,""Hand-carved walking stick with intricate wood carvings"",0,100,""2024-07-06 14:00:00"",""2024-07-15 09:00:00"""
"37,Antique Telescope,""Antique telescope with brass fittings and wooden tripod"",0,600,""2024-07-07 15:00:00"",""2024-07-16 10:00:00"""
"38,Antique Silver Brooch,""Antique silver brooch adorned with precious gemstones"",0,400,""2024-07-08 16:00:00"",""2024-07-17 11:00:00"""
"39,Handwoven Tapestry,""Handwoven tapestry depicting a medieval scene"",0,500,""2024-07-09 17:00:00"",""2024-07-18 12:00:00"""
"40,Decorative Candelabra,""Decorative candelabra with intricate scrollwork"",0,200,""2024-07-10 18:00:00"",""2024-07-19 13:00:00"""
"41,Antique Writing Desk,""Antique writing desk with leather top and ornate legs"",0,800,""2024-07-11 19:00:00"",""2024-07-20 14:00:00"""
"42,Stained Glass Window,""Stained glass window panel with vibrant colors"",0,600,""2024-07-12 20:00:00"",""2024-07-21 15:00:00"""
"43,Fine Porcelain Teapot,""Exquisite fine porcelain teapot with floral motifs"",0,150,""2024-07-13 21:00:00"",""2024-07-22 16:00:00"""
"44,Marble Sculpture,""Marble sculpture depicting a classical figure"",0,700,""2024-07-14 22:00:00"",""2024-07-23 17:00:00"""
"45,Art Deco Clock,""Art Deco clock with geometric design and chrome accents"",0,300,""2024-07-15 23:00:00"",""2024-07-24 18:00:00"""
"46,Fine Jewelry Box,""Elegant jewelry box with velvet lining and intricate detailing"",0,200,""2024-07-16 09:00:00"",""2024-07-25 09:00:00"""
"47,Victorian Chair,""Antique Victorian chair with carved wooden frame"",0,500,""2024-07-17 10:00:00"",""2024-07-26 10:00:00"""
"48,Japanese Woodblock Print,""Japanese woodblock print featuring traditional scenes"",0,400,""2024-07-18 11:00:00"",""2024-07-27 11:00:00"""
"49,Hand-Painted Porcelain Plate,""Hand-painted porcelain plate with floral motifs"",0,250,""2024-07-19 12:00:00"",""2024-07-28 12:00:00"""
"50,Authentic Antique Rug,""Authentic antique rug with intricate patterns and rich colors"",0,1200,""2024-07-20 13:00:00"",""2024-07-29 13:00:00"""
